TIMESTAMP,CONTROLLER IP,ACTION,AFFECTED HYPERVISOR IP,AFFECTED RESOURCE NAME,IP,MANAGEMENT IP
ThuDec1304:42:21EST2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C1,13.13.13.6,192.1.237.24
Thu Dec 13 04:44:38 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.6,
Thu Dec 13 04:44:55 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C1,13.13.13.6,192.1.240.147
Thu Dec 13 04:45:36 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.6,
Thu Dec 13 04:45:56 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C1,13.13.13.6,192.1.131.202
Thu Dec 13 04:45:57 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.3,
Thu Dec 13 04:46:16 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C2,13.13.13.3,192.1.12.199
Sat Dec 15 16:54:56 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.5,
Sat Dec 15 17:06:58 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C4,13.13.13.5,192.1.54.61
Sat Dec 15 17:11:13 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C5,13.13.13.7,192.1.36.3
Sat Dec 15 17:14:19 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C6,13.13.13.8,192.1.153.145
Sat Dec 15 17:16:34 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.8,
Sat Dec 15 17:23:07 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.7,
Sat Dec 15 17:23:46 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C5,13.13.13.7,192.1.249.241
Sat Dec 15 17:24:12 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.7,
Sat Dec 15 17:26:54 EST 2018,192.168.100.88,SCALED_UP,192.168.50.66,T2N1C5,13.13.13.7,192.1.190.80
Sat Dec 15 17:27:55 EST 2018,192.168.100.88,SCALED_UP,192.168.50.66,T2N1C6,13.13.13.8,192.1.57.149
Sat Dec 15 17:29:17 EST 2018,,SCALING_DOWN,192.168.50.66,,13.13.13.8,
Sat Dec 15 17:32:08 EST 2018,,SCALING_DOWN,192.168.50.66,,13.13.13.7,
Sat Dec 15 17:32:22 EST 2018,192.168.100.88,SCALED_UP,192.168.50.66,T2N1C5,13.13.13.7,192.1.173.250
Sat Dec 15 19:31:59 EST 2018,,SCALING_DOWN,192.168.50.66,,13.13.13.7,
Sat Dec 15 19:32:20 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C5,13.13.13.7,192.1.251.38
Sat Dec 15 20:21:31 EST 2018,,SCALING_DOWN,192.168.50.80,,13.13.13.4,
Sat Dec 15 20:21:54 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C3,13.13.13.4,192.1.89.99
Sat Dec 15 20:24:16 EST 2018,,SCALING_DOWN,192.168.50.66,,13.13.13.7,
Sat Dec 15 20:24:35 EST 2018,192.168.100.88,SCALED_UP,192.168.50.80,T2N1C5,13.13.13.7,192.1.182.28
